sample_id,grain_mill_id,longitude,latitude,village,walking_distance_min,flour_type,source,elevation_m,af_ppb,af_log10ppb,fum_ppm,fum_log10ppm
80_5,80,36.7331852,-6.0842712,Pandambili A,15,sembe,homegrown,1237.44456,65.34,1.81517913,0.147,-0.832682665
80_6,80,36.7331852,-6.0842712,Pandambili A,60,kiwerege,homegrown,1189.378237,37.532,1.574401708,1.019,0.008174184
80_7,80,36.7331852,-6.0842712,Pandambili A,25,sembe,homegrown,NA,3.398,0.531223375,0.803,-0.095284455
80_9,80,36.7331852,-6.0842712,Pandambili A,30,sembe,homegrown,1284.232,17.626,1.246153766,0.474,-0.324221658
81_1,81,36.72727813,-6.084796332,Pandambili A,120,sembe,homegrown,1145.33519,86.3,1.936010796,1.799,0.255031163
81_2,81,36.72727813,-6.084796332,Pandambili A,30,sembe,homegrown,1161.010388,279.08,2.445728714,1.779,0.250175948
82_1,82,36.73730341,-6.084704075,Pandambili A,5,kiwerege,homegrown,1145.33519,125.16,2.097465554,1.292,0.111262514
82_2,82,36.73730341,-6.084704075,Pandambili A,60,kiwerege,homegrown,1161.010388,27.09,1.432809005,2.246,0.351409752
82_3,82,36.73730341,-6.084704075,Pandambili A,90,kiwerege,homegrown,1406.426404,33.67,1.527243116,0.478,-0.320572103
83_1,83,36.7501695,-6.2903496,Mlali,120,sembe,homegrown,1145.33519,1.19,0.075546961,1.169,0.067814511
83_2,83,36.7501695,-6.2903496,Mlali,60,kiwerege,homegrown,1161.010388,35.28,1.547528576,1.942,0.288249226
83_3,83,36.7501695,-6.2903496,Mlali,20,sembe,homegrown,1406.426404,13.308,1.124112792,1.738,0.240049772
84_1,84,36.74900492,-6.295626091,Mlali,120,sembe,homegrown,1145.33519,0.966,-0.015022874,0.516,-0.287350298
85_1,85,36.74818553,-6.296016173,Mlali,30,sembe,homegrown,1145.33519,1.536,0.186391216,0.674,-0.171340103
86_1,86,36.6067343,-6.1933585,Laikala,60,kiwerege,homegrown,1145.33519,41.114,1.613989732,1.866,0.270911639
86_2,86,36.6067343,-6.1933585,Laikala,20,sembe,homegrown,1161.010388,20.356,1.308692442,0.733,-0.134896025
86_3,86,36.6067343,-6.1933585,Laikala,10,sembe,homegrown,1406.426404,0.584,-0.233587153,0.698,-0.156144577
86_5,86,36.6067343,-6.1933585,Laikala,60,sembe,homegrown,1237.44456,13.042,1.115344196,0.592,-0.227678293
86_6,86,36.6067343,-6.1933585,Laikala,30,sembe,homegrown,1189.378237,37.598,1.575164744,0.428,-0.368556231
86_7,86,36.6067343,-6.1933585,Laikala,60,sembe,homegrown,NA,378.32,2.577859301,0.915,-0.038578906
87_1,87,36.4312379,-5.8151213,Mkoka,NA,dona,homegrown,1145.33519,50.86,1.706376356,1.699,0.230193379
87_2,87,36.4312379,-5.8151213,Mkoka,50,sembe,homegrown,1161.010388,72.74,1.861773297,1.675,0.224014811
87_3,87,36.4312379,-5.8151213,Mkoka,60,dona,homegrown,1406.426404,18.486,1.266842949,0.491,-0.308918508
87_4,87,36.4312379,-5.8151213,Mkoka,60,dona,homegrown,1381.078297,17.888,1.252561786,2.681,0.428296814
87_5,87,36.4312379,-5.8151213,Mkoka,60,sembe,homegrown,1237.44456,60.22,1.779740751,2.914,0.464489547
87_6,87,36.4312379,-5.8151213,Mkoka,60,dona,homegrown,1189.378237,18.77,1.273464273,13.81,1.140193679
87_7,87,36.4312379,-5.8151213,Mkoka,NA,NA,homegrown,NA,188.44,2.275173096,5.453,0.736635498
88_1,88,36.431457,-5.815855,Mkoka,30,dona,homegrown,1145.33519,28.904,1.460957949,0.668,-0.175223538
88_2,88,36.431457,-5.815855,Mkoka,25,dona,homegrown,1161.010388,39.05,1.591621038,0.342,-0.465973894
88_3,88,36.431457,-5.815855,Mkoka,120,sembe,homegrown,1406.426404,41.624,1.619343813,0.674,-0.171340103
88_4,88,36.431457,-5.815855,Mkoka,120,sembe,homegrown,1381.078297,3.494,0.543322901,0.285,-0.54515514
88_5,88,36.431457,-5.815855,Mkoka,75,sembe,homegrown,1237.44456,19.772,1.296050602,1.652,0.218010043
88_6,88,36.431457,-5.815855,Mkoka,60,sembe,homegrown,1189.378237,15.8,1.198657087,0.909,-0.041436117
89_1,89,36.43162029,-5.817955294,Mkoka,120,sembe,homegrown,1145.33519,32.962,1.518013555,0.965,-0.015472687
89_2,89,36.43162029,-5.817955294,Mkoka,20,sembe,homegrown,1161.010388,96.3,1.983626287,0.746,-0.127261173
89_3,89,36.43162029,-5.817955294,Mkoka,120,dona,homegrown,1406.426404,40.04,1.602494069,7.66,0.88422877
89_4,89,36.43162029,-5.817955294,Mkoka,30,sembe,homegrown,1381.078297,4.78,0.679427897,0.133,-0.876148359
89_5,89,36.43162029,-5.817955294,Mkoka,60,sembe,homegrown,1237.44456,356.72,2.552327459,0.395,-0.403402904
9_1,9,36.839213,-6.26046,Pembamoto,120,sembe,homegrown,1145.33519,3.751,0.574147064,0.972,-0.012333735
9_2,9,36.839213,-6.26046,Pembamoto,90,sembe,homegrown,1161.010388,2.438,0.387033701,1.777,0.249687428
90_1,90,36.430894,-5.818151,Mkoka,120,dona,homegrown,1145.33519,96.56,1.984797257,4.061,0.608632989
